Designator,Mid X,Mid Y,Layer,Rotation
BOOT1,124.5196,-66.8576,top,0
C1,148.336,-46.355,top,0
C2,150.875,-53.594,top,0
C3,129.2098,-48.6664,top,90
C4,127.3302,-48.641,top,90
C5,93.218,-45.4914,top,180
C6,93.4438,-47.371,top,180
C7,87.945,-51.2318,top,180
C8,166.9563,-64.7706,top,0
C9,166.9425,-74.1686,top,0
C10,139.0272,-64.891,top,0
C11,139.0012,-74.549,top,0
C12,150.622,-51.816,top,0
C13,148.083,-48.133,top,0
D1,137.2616,-49.0615,top,180
D2,150.6475,-57.15,top,0
J1,137.8514,-41.2122,top,180
Q1,88.9,-61.9252,top,-90
Q2,122.7836,-61.976,top,0
Q3,113.5013,-71.1708,top,90
Q4,118.425,-71.3209,top,90
R1,125.4506,-48.4105,top,-90
R2,123.5202,-48.6156,top,-90
R3,121.8438,-48.6278,top,90
R4,90.678,-50.419,top,-90
R5,127.2408,-61.3918,top,0
R6,87.9352,-65.5574,top,90
R7,94.5002,-61.9506,top,180
R8,127.2418,-63.0428,top,180
R9,119.2033,-68.1482,top,0
R10,114.5672,-68.1228,top,0
R11,119.4065,-75.374,top,90
R12,112.395,-75.374,top,-90
R13,166.9433,-66.6502,top,0
R14,166.9433,-68.6314,top,0
R15,166.9687,-70.4856,top,0
R16,166.9433,-72.3652,top,180
R17,166.9433,-77.343,top,0
R18,139.0274,-66.8782,top,0
R19,139.0274,-68.9102,top,0
R20,139.0274,-70.8406,top,0
R21,139.002,-72.644,top,180
R22,139.002,-77.343,top,0
R23,78.423,-87.376,top,0
R24,180.9618,-87.2998,top,0
R25,150.622,-55.372,top,0
RESET1,87.3,-56.0412,top,-90
U1,105.8224,-54.1742,top,-90
U2,125.9586,-53.7588,top,180
U3,144.1958,-52.6542,top,0
U5,97.9422,-73.7886,top,-90
